Title,Authors
Hybrid Contextualized Sentiment Classification with Cold-start Aware User and Product Attention,"Reinald Kim Amplayo, Jihyeok Kim, Sua Sung and Seung-won Hwang"
Multi-Granularity Hierarchical Attention Fusion Networks for Reading Comprehension and Question Answering,"Wei Wang, ming yan and Chen Wu"
How Much Attention Do You Need? A Granular Analysis of Neural Machine Translation Architectures,Tobias Domhan
SemAxis: A Lightweight Framework to Characterize the Manifold of Domain-Specific Word Semantics Beyond Sentiment,"Jisun An, Haewoon Kwak and Yong-Yeol Ahn"
Textual Deconvolution Saliency (TDS) : a deep tool box for linguistic analysis,"Laurent Vanni, Mélanie Ducoffe, Carlos Aguilar, Frederic Precioso and Damon Mayaffre"
Large-Scale QA-SRL Parsing,"Nicholas FitzGerald, Julian Michael, Luheng He and Luke Zettlemoyer"
Marrying up Regular Expressions with Neural Networks: A Case Study for Spoken Language Understanding,"Bingfeng Luo, Yansong Feng, Zheng Wang, Songfang Huang, Rui Yan and Dongyan Zhao"
Neural Factor Graph Models for Cross-lingual Morphological Tagging,"Chaitanya Malaviya, Matthew R. Gormley and Graham Neubig"
Classification of Moral Foundations in Microblog Political Discourse,Kristen Johnson and Dan Goldwasser
DSGAN: Generative Adversarial Training for Robust Distant Supervision Relation Extraction,"Pengda Qin, Weiran XU and William Yang Wang"
LinkNBed: Multi-Graph Representation Learning with Entity Linkage,"Rakshit Trivedi, Bunyamin Sisman, Xin Luna Dong, Christos Faloutsos, Jun Ma and Hongyuan Zha"
A La Carte Embeddings: Cheap but Effective Induction of Semantic Feature Vectors,"Mikhail Khodak, Nikunj Saunshi, Yingyu Liang, Tengyu Ma, Brandon Stewart and Sanjeev Arora"
Gaussian Mixture Latent Vector Grammars,"Yanpeng Zhao, Liwen Zhang and Kewei Tu"
Language Generation via DAG Transduction,"Yajie Ye, Weiwei Sun and Xiaojun Wan"
Exemplar Encoder-Decoder for Neural Conversation Generation,"Gaurav Pandey, Danish Contractor, Vineet Kumar and Sachindra Joshi"
Token-level and sequence-level loss smoothing for RNN language models,"Maha ELBAYAD, Laurent Besacier and Jakob Verbeek"
Explicit Retrofitting of Distributional Word Vectors,Goran Glavaš and Ivan Vulić
Multimodal Affective Analysis Using Hierarchical Attention Strategy with Word-Level Alignment,"Yue Gu, Kangning Yang, Shiyu Fu, Shuhong Chen, Xinyu Li and Ivan Marsic"
"Constraining MGbank: Agreement, L-Selection and Supertagging in Minimalist Grammars",John Torr
GTR-LSTM: A Triple Encoder for Sentence Generation from RDF Data,"Bayu Distiawan Trisedya, Jianzhong Qi, Rui Zhang and Wei Wang"
Human Multimodal Language in the Wild: A Novel Dataset and Interpretable Dynamic Fusion Model,"AmirAli Bagher Zadeh, Paul Pu Liang, Soujanya Poria, Erik Cambria and Louis-Philippe Morency"
DialSQL: Dialogue Based Structured Query Generation,"Izzeddin Gur, Semih Yavuz, Yu Su and Xifeng Yan"
Probabilistic Embedding of Knowledge Graphs with Box Lattice Measures,"Luke Vilnis, Xiang Li, Shikhar Murty and Andrew McCallum"
Interpretable and Compositional Relation Learning by Joint Training with an Autoencoder,"Ryo Takahashi, Ran Tian and Kentaro Inui"
Can We Obtain Cheaper Unbiased Evaluation of Natural Language Generation using Control Variates?,"Arun Chaganty, Stephen Mussmann and Percy Liang"
Entity-Centric Joint Modeling of Japanese Coreference Resolution and Predicate Argument Structure Analysis,Tomohide Shibata and Sadao Kurohashi
Learning to Write with Cooperative Discriminators,"Ari Holtzman, Jan Buys, Maxwell Forbes, Antoine Bosselut, David Golub and Yejin Choi"
Modeling Naive Psychology of Characters in Simple Commonsense Stories,"Hannah Rashkin, Antoine Bosselut, Maarten Sap, Kevin Knight and Yejin Choi"
Efficient Low-rank Multimodal Fusion With Modality-Specific Factors,"Zhun Liu, Ying Shen, Varun Bharadhwaj Lakshminarasimhan, Paul Pu Liang, AmirAli Bagher Zadeh and Louis-Philippe Morency"
Which Melbourne? Augmenting Geocoding with Maps,"Milan Gritta, Mohammad Taher Pilehvar and Nigel Collier"
A Model for Deliberative Discussions in Wikipedia,"Khalid Al Khatib, Henning Wachsmuth, Kevin Lang, Jakob Herpel, Matthias Hagen and Benno Stein"
An Annotated Corpus for Scoring in Student Essays,"Winston Carlile, Nishant Gurrapadi, Zixuan Ke and Vincent Ng"
Neural Adversarial Training for Semi-supervised Japanese Predicate-argument Structure Analysis,"Shuhei Kurita, Daisuke Kawahara and Sadao Kurohashi"
Conversations Gone Awry: Detecting Early Signs of Conversational Failure,"Justine Zhang, Jonathan Chang, Cristian Danescu-Niculescu-Mizil, Lucas Dixon, Yiqing Hua, Dario Taraborelli and Nithum Thain"
Working Memory Networks: Augmenting Memory Networks with a Relational Reasoning Module,"Juan Pavez, Hector Alllende and Hector Allende-Cid"
Enhancing Cloze-Style Reading Comprehension with External Common Knowledge using Explicit Key-Value Memory,Todor Mihaylov and Anette Frank
"Event2Mind: Commonsense Inference on Events, Intents, and Reactions","Maarten Sap, Hannah Rashkin, Emily Allaway, Noah A. Smith and Yejin Choi"
Computational Modeling of Review Helpfulness,Gerardo Ocampo Diaz and Vincent Ng
Are BLEU and Meaning Representation in Opposition?,Ondřej Cífka and Ondřej Bojar
"Syntax for Semantic Role Labeling, To Be, Or Not To Be","Shexia He, Zuchao Li, Hai Zhao and Hongxiao Bai"
Dating Documents using Graph Convolution Networks,"Shikhar Vashishth, Swayambhu Nath Ray, Shib Sankar Dasgupta and Partha Talukdar"
A Neural Approach to Pun Generation,"Zhiwei Yu, Jiwei Tan and Xiaojun Wan"
